employee_id,fullname,nip,years_of_service_months,company_name,area_name,position_name,department_name,division_name,directorate_name,grade_name,education_name,major_name,is_high
EMP100040,Rifqi Putra,751135,81,PT Lumo Cosmetics Asia,Distribution,HRBP,HR,Operations,Technology,IV,SMA,Design,0.0
EMP100041,Lestari Maulana,135400,99,PT Mandala Distribution Center,HQ,Finance Officer,R&D,Operations,Commercial,III,S1,Engineering,1.0
EMP100042,Oka Lukman,191210,28,PT Lumo Cosmetics Asia,Plant,Supply Planner,HR,Sales,HR & Corp Affairs,III,SMA,Economics,0.0
EMP100043,Nugroho Indrawan,123837,40,PT VASKA Wellness,HQ,Finance Officer,Marketing,Operations,HR & Corp Affairs,III,D3,Economics,0.0
EMP100044,Indra Maulida,742065,8,PT Mandala Distribution Center,Store,Sales Supervisor,IT,Digital Marketing,HR & Corp Affairs,III,S1,Statistics,0.0
EMP100045,Dimas Mahendra,581488,38,PT VASKA Wellness,Plant,Data Analyst,IT,Sales,Commercial,V,D3,Psychology,0.0
EMP100046,Fitri Lestari,117913,64,PT Lumo Cosmetics Asia,Store,Brand Executive,Marketing,Product Dev,Commercial,IV,S1,Statistics,0.0
EMP100047,Hadi Pradana,161695,58,PT Lumo Cosmetics Asia,HQ,Data Analyst,HR,Talent Management,Commercial,III,S2,Psychology,0.0
EMP100048,Adit Halim,557326,50,PT Lumo Cosmetics Asia,Store,HRBP,Operations,Sales,Technology,III,SMA,Statistics,0.0
EMP100049,Rizki Halim Siregar,453636,35,PT Aurora Beauty Indonesia,Store,Sales Supervisor,Finance,Digital Marketing,Commercial,V,SMA,Statistics,0.0
EMP100050,Joko Ridwan,411437,69,PT Mandala Distribution Center,Plant,HRBP,IT,Talent Management,Technology,III,S1,Design,1.0
EMP100051,Ari Mahardika Nugroho,286318,98,PT Mandala Distribution Center,Store,Sales Supervisor,Finance,Sales,Technology,III,S2,Psychology,0.0
EMP100052,Sari Yudhistira Mahendra,740192,23,PT Aurora Beauty Indonesia,Store,HRBP,HR,Digital Marketing,HR & Corp Affairs,V,S2,Economics,1.0
EMP100053,Anisa Pamungkas,770602,52,PT Aurora Beauty Indonesia,Plant,Brand Executive,IT,Product Dev,Commercial,V,S2,Psychology,0.0
EMP100054,Nugroho Maulida,239182,22,PT VASKA Wellness,Store,HRBP,IT,Talent Management,Commercial,III,S1,Economics,1.0
EMP100055,Putri Nugroho,153339,42,PT Aurora Beauty Indonesia,HQ,Supply Planner,Finance,Sales,Commercial,IV,SMA,Psychology,0.0
EMP100056,Ayunda Ramadhan,401856,96,PT Mandala Distribution Center,Store,Brand Executive,Marketing,Product Dev,HR & Corp Affairs,III,S2,Economics,0.0
EMP100057,Nurlita Kusuma,285929,60,PT Lumo Cosmetics Asia,HQ,Supply Planner,HR,Sales,Technology,V,D3,Engineering,0.0
EMP100058,Adit Anugrah Halim,827158,66,PT Lumo Cosmetics Asia,Plant,Data Analyst,Marketing,Digital Marketing,HR & Corp Affairs,V,S1,Engineering,0.0
EMP100059,Fajar Dharma Subekti,404880,75,PT VASKA Wellness,Plant,Finance Officer,HR,Sales,Commercial,V,SMA,Statistics,1.0
EMP100060,Wulan Maulida,302930,44,PT Aurora Beauty Indonesia,Store,Finance Officer,Marketing,Digital Marketing,Technology,IV,S1,Design,1.0
EMP100061,Oktavia Anugrah Setiawan,275683,46,PT Mandala Distribution Center,Plant,Supply Planner,Marketing,Digital Marketing,Commercial,V,D3,Psychology,0.0
EMP100062,Valdo Jatmiko Mahendra,249908,40,PT Lumo Cosmetics Asia,Plant,HRBP,R&D,Product Dev,HR & Corp Affairs,IV,S2,Design,0.0
EMP100063,Ayu Lestari Pradana,461165,42,PT VASKA Wellness,Distribution,Brand Executive,Marketing,Operations,Commercial,III,S2,Psychology,0.0
EMP100064,Kurnia Purnama,551120,38,PT Aurora Beauty Indonesia,HQ,Supply Planner,Operations,Sales,Technology,V,D3,Statistics,0.0
EMP100065,Rani Saputra,240200,24,PT Aurora Beauty Indonesia,Store,Brand Executive,Finance,Sales,HR & Corp Affairs,IV,D3,Engineering,0.0
EMP100066,Tania Lestari Setiawan,378824,65,PT Aurora Beauty Indonesia,Store,Finance Officer,Finance,Operations,Commercial,III,D3,Business,0.0
EMP100067,Indra Zulfikar,696462,89,PT Aurora Beauty Indonesia,Plant,Finance Officer,Finance,Operations,Commercial,V,D3,Business,0.0
EMP100068,Nabila Qolbi Suharto,671201,68,PT Mandala Distribution Center,Distribution,Finance Officer,HR,Talent Management,HR & Corp Affairs,III,SMA,Business,0.0
EMP100069,Anisa Permadi,252350,61,PT Aurora Beauty Indonesia,Plant,HRBP,HR,Sales,Technology,III,S1,Design,
EMP100070,Kartika Rachman Ramadhan,855424,47,PT Lumo Cosmetics Asia,Store,Supply Planner,HR,Sales,Technology,III,D3,Psychology,
EMP100071,Rafa Situmorang,871247,72,PT VASKA Wellness,Plant,HRBP,IT,Sales,Technology,III,S1,Engineering,0.0
EMP100072,Nugroho Hartanto,161630,45,PT VASKA Wellness,Distribution,Finance Officer,Operations,Product Dev,Commercial,III,S2,Statistics,0.0
EMP100073,Dimas Halim Ananda,972245,85,PT VASKA Wellness,Plant,Finance Officer,IT,Talent Management,Commercial,V,S2,Business,0.0
EMP100074,Ari Utama Putra,100945,32,PT Mandala Distribution Center,Distribution,Data Analyst,Finance,Product Dev,HR & Corp Affairs,V,D3,Economics,0.0
EMP100075,Rizki Halim Zulfikar,290052,24,PT Lumo Cosmetics Asia,Distribution,Sales Supervisor,Marketing,Talent Management,Technology,III,SMA,Engineering,1.0
EMP100076,Rizki Wijaya,458782,4,PT Aurora Beauty Indonesia,Plant,Supply Planner,Operations,Sales,HR & Corp Affairs,III,S2,Business,0.0
EMP100077,Novi Setiawan,115692,35,PT Lumo Cosmetics Asia,Store,Finance Officer,IT,Digital Marketing,Technology,III,S2,Psychology,0.0
EMP100078,Indra Anggara,811320,39,PT Aurora Beauty Indonesia,Distribution,Supply Planner,IT,Digital Marketing,Technology,V,SMA,Business,0.0
EMP100079,Novi Hasibuan,298849,67,PT Mandala Distribution Center,Store,Finance Officer,IT,Sales,Commercial,III,D3,Psychology,0.0
EMP100080,Andi Mahardika Handayani,274945,43,PT VASKA Wellness,Distribution,Data Analyst,IT,Product Dev,Technology,IV,SMA,Design,0.0
EMP100081,Ari Yulianto,447230,85,PT Aurora Beauty Indonesia,Store,Supply Planner,Finance,Product Dev,Technology,V,S2,Economics,0.0
EMP100082,Budi Dharma Lukman,247239,63,PT Lumo Cosmetics Asia,Store,Brand Executive,IT,Operations,Technology,V,SMA,Business,0.0
EMP100083,Rizka Erlangga Subekti,286153,19,PT Aurora Beauty Indonesia,Plant,Supply Planner,R&D,Digital Marketing,Technology,IV,SMA,Business,
EMP100084,Dian Rachman Handayani,735572,16,PT Aurora Beauty Indonesia,Plant,Supply Planner,HR,Digital Marketing,Technology,IV,D3,Design,0.0
EMP100085,Ahmad Rohman,540638,22,PT VASKA Wellness,Store,Data Analyst,IT,Sales,HR & Corp Affairs,V,S1,Business,0.0
EMP100086,Rani Syahputra,503804,23,PT Lumo Cosmetics Asia,Plant,HRBP,R&D,Talent Management,Commercial,V,S2,Economics,0.0
EMP100087,Rizka Ananda,649357,12,PT VASKA Wellness,Distribution,Brand Executive,R&D,Operations,HR & Corp Affairs,V,S2,Economics,0.0
EMP100088,Nadia Saputra Mahendra,192144,38,PT VASKA Wellness,Store,Finance Officer,HR,Sales,Commercial,III,S2,Statistics,0.0
EMP100089,Umar Simanjuntak,179520,56,PT Aurora Beauty Indonesia,HQ,Sales Supervisor,Marketing,Product Dev,Technology,V,S1,Engineering,
EMP100090,Maya Pratomo,304860,27,PT VASKA Wellness,Store,Supply Planner,Operations,Sales,HR & Corp Affairs,IV,S1,Psychology,0.0
EMP100091,Oka Candra Firmansyah,109937,10,PT Mandala Distribution Center,Distribution,Finance Officer,IT,Digital Marketing,Commercial,IV,S2,Business,0.0
EMP100092,Ahmad Indrawan,810984,68,PT VASKA Wellness,Distribution,Data Analyst,Marketing,Digital Marketing,Technology,V,S1,Design,0.0
EMP100093,Nadia Lestari Utami,218189,57,PT Aurora Beauty Indonesia,Distribution,Data Analyst,Operations,Product Dev,Technology,IV,S1,Statistics,0.0
EMP100094,Nadia Utama Yulianto,838236,33,PT Mandala Distribution Center,Distribution,Brand Executive,IT,Product Dev,Technology,III,S1,Engineering,0.0
EMP100095,Fitri Pamungkas,186709,41,PT VASKA Wellness,Store,Finance Officer,Marketing,Talent Management,HR & Corp Affairs,IV,S2,Psychology,0.0
EMP100096,Rama Dharma Wibowo,349891,77,PT Mandala Distribution Center,Plant,Data Analyst,R&D,Operations,Commercial,IV,S2,Engineering,0.0
EMP100097,Valdo Subekti,922054,64,PT Aurora Beauty Indonesia,Distribution,Supply Planner,HR,Digital Marketing,Technology,III,S1,Economics,0.0
EMP100098,Indra Hidayat,843650,57,PT Lumo Cosmetics Asia,Store,Finance Officer,IT,Digital Marketing,Commercial,V,S1,Business,0.0
EMP100099,Tania Suharto,635643,46,PT Lumo Cosmetics Asia,Store,HRBP,Marketing,Operations,HR & Corp Affairs,III,S1,Statistics,0.0
EMP100100,Intan Rachman Suharto,198295,55,PT Mandala Distribution Center,Store,Brand Executive,Marketing,Digital Marketing,Commercial,IV,D3,Design,0.0
EMP100101,Yoga Pratomo,264764,51,PT Lumo Cosmetics Asia,Distribution,HRBP,Finance,Digital Marketing,HR & Corp Affairs,V,SMA,Psychology,0.0
EMP100102,Dinda Permadi,342888,22,PT Aurora Beauty Indonesia,HQ,Finance Officer,R&D,Digital Marketing,Technology,III,S2,Economics,
EMP100103,Ayu Ginting,310700,32,PT Mandala Distribution Center,Distribution,Data Analyst,IT,Digital Marketing,Technology,IV,D3,Business,1.0
EMP100104,Budi Pratama,642860,81,PT Mandala Distribution Center,Store,HRBP,IT,Product Dev,HR & Corp Affairs,III,SMA,Statistics,0.0
EMP100105,Maya Yulianto,653381,16,PT VASKA Wellness,Distribution,Brand Executive,Marketing,Sales,HR & Corp Affairs,III,SMA,Business,0.0
EMP100106,Valdo Wijaya Wijaya,335938,64,PT Lumo Cosmetics Asia,Plant,Brand Executive,R&D,Talent Management,Technology,V,SMA,Business,0.0
EMP100107,Dian Fauziah,273235,45,PT Mandala Distribution Center,HQ,HRBP,Operations,Product Dev,Commercial,IV,SMA,Engineering,
EMP100108,Dinda Erlangga Handayani,455098,58,PT Mandala Distribution Center,HQ,Finance Officer,IT,Talent Management,Technology,IV,S1,Statistics,0.0
EMP100109,Dinda Wibowo,127614,55,PT Lumo Cosmetics Asia,Distribution,Data Analyst,IT,Sales,Technology,V,SMA,Engineering,0.0
EMP100110,Citra Hartanto,528735,46,PT Lumo Cosmetics Asia,HQ,Sales Supervisor,IT,Talent Management,HR & Corp Affairs,V,S2,Engineering,0.0
EMP100111,Rendra Herlambang,510681,44,PT VASKA Wellness,HQ,Finance Officer,R&D,Sales,Commercial,V,S2,Psychology,0.0
EMP100112,Adit Mahardika Pratama,874330,36,PT Mandala Distribution Center,Store,Finance Officer,Finance,Sales,Technology,III,D3,Economics,0.0
EMP100113,Iman Rachman Rahmawati,313238,55,PT Aurora Beauty Indonesia,Store,Brand Executive,R&D,Product Dev,Commercial,IV,D3,Psychology,
EMP100114,Vania Fadillah Fauziah,475116,15,PT VASKA Wellness,HQ,HRBP,Marketing,Talent Management,HR & Corp Affairs,IV,SMA,Design,1.0
EMP100115,Satya Yudhistira Lukman,804211,41,PT VASKA Wellness,Distribution,Brand Executive,HR,Sales,HR & Corp Affairs,III,S2,Engineering,0.0
EMP100116,Bayu Ridwan,747077,50,PT VASKA Wellness,HQ,Supply Planner,Marketing,Product Dev,HR & Corp Affairs,V,S1,Psychology,
EMP100117,Prasetyo Gunawan,362939,39,PT Mandala Distribution Center,Store,HRBP,R&D,Operations,HR & Corp Affairs,IV,S1,Statistics,0.0
EMP100118,Julia Pramudita Hartanto,244488,53,PT Mandala Distribution Center,Store,HRBP,HR,Talent Management,Technology,V,S1,Engineering,
EMP100119,Iman Ginting,562438,1,PT VASKA Wellness,HQ,Supply Planner,Finance,Product Dev,Commercial,IV,S1,Economics,0.0
EMP100120,Iman Maulida,949849,52,PT Mandala Distribution Center,HQ,Data Analyst,Finance,Operations,Commercial,IV,D3,Economics,0.0
EMP100121,Bayu Hidayat,174665,56,PT Aurora Beauty Indonesia,Plant,HRBP,IT,Operations,Technology,III,S1,Engineering,0.0
EMP100122,Rizki Simanjuntak,580039,10,PT VASKA Wellness,Plant,Supply Planner,Marketing,Digital Marketing,Technology,V,S1,Design,0.0
EMP100123,Kurnia Jatmiko Permadi,557929,54,PT VASKA Wellness,Distribution,Sales Supervisor,HR,Digital Marketing,Commercial,IV,SMA,Design,0.0
EMP100124,Maya Nabila Salsabila,614276,52,PT VASKA Wellness,Store,Data Analyst,Marketing,Talent Management,HR & Corp Affairs,III,D3,Design,0.0
EMP100125,Nabila Lestari Santoso,500320,45,PT VASKA Wellness,Store,Sales Supervisor,Finance,Product Dev,HR & Corp Affairs,V,D3,Business,0.0
EMP100126,Vania Siregar,549217,67,PT Lumo Cosmetics Asia,Store,Sales Supervisor,Operations,Digital Marketing,Technology,V,S2,Economics,0.0
EMP100127,Lestari Gunawan,809952,26,PT Aurora Beauty Indonesia,Plant,Supply Planner,Marketing,Digital Marketing,Commercial,V,S2,Statistics,0.0
EMP100128,Ahmad Siregar,282135,58,PT Aurora Beauty Indonesia,Distribution,HRBP,R&D,Sales,HR & Corp Affairs,IV,S1,Economics,0.0
EMP100129,Dian Utama Kusuma,445242,17,PT Mandala Distribution Center,Store,Data Analyst,Finance,Digital Marketing,Commercial,IV,S2,Design,0.0
EMP100130,Citra Rahmawati,328046,68,PT VASKA Wellness,Plant,Brand Executive,Finance,Operations,Technology,III,SMA,Economics,0.0
EMP100131,Ayunda Adi Hartanto,190746,58,PT Aurora Beauty Indonesia,Distribution,HRBP,Operations,Sales,Commercial,V,S2,Economics,0.0
EMP100132,Maya Ramadhan,378744,46,PT Aurora Beauty Indonesia,HQ,Data Analyst,Operations,Sales,HR & Corp Affairs,V,S1,Statistics,0.0
EMP100133,Rendra Handayani,851667,30,PT VASKA Wellness,HQ,HRBP,HR,Digital Marketing,Technology,III,S2,Business,0.0
EMP100134,Rifqi Wijaya,526403,61,PT Mandala Distribution Center,HQ,Sales Supervisor,IT,Talent Management,HR & Corp Affairs,III,D3,Psychology,0.0
EMP100135,Indra Wijaya Ridwan,738691,14,PT Aurora Beauty Indonesia,Plant,HRBP,Finance,Talent Management,Technology,III,D3,Statistics,0.0
EMP100136,Maya Pradana,517117,76,PT Lumo Cosmetics Asia,HQ,Data Analyst,HR,Operations,Commercial,III,D3,Statistics,
EMP100137,Rizky Jatmiko Hasibuan,553122,124,PT Aurora Beauty Indonesia,HQ,Brand Executive,Operations,Sales,HR & Corp Affairs,III,D3,Business,0.0
EMP100138,Rani Zulfikar,432483,42,PT VASKA Wellness,Distribution,Finance Officer,Marketing,Digital Marketing,HR & Corp Affairs,V,SMA,Psychology,0.0
EMP100139,Nadia Herlambang,982093,78,PT Aurora Beauty Indonesia,HQ,HRBP,Marketing,Operations,Technology,V,S1,Economics,0.0
EMP100140,Yuni Siregar,998756,54,PT Mandala Distribution Center,HQ,Supply Planner,IT,Operations,Commercial,III,SMA,Statistics,0.0
EMP100141,Fitri Utami,861763,67,PT Mandala Distribution Center,Plant,Supply Planner,HR,Digital Marketing,Technology,V,S2,Business,0.0
EMP100142,Indra Putra,749034,64,PT Aurora Beauty Indonesia,Plant,HRBP,Marketing,Digital Marketing,Technology,III,D3,Psychology,0.0
EMP100143,Nadia Pramudita Wibowo,895607,22,PT Aurora Beauty Indonesia,Plant,Data Analyst,Operations,Product Dev,Technology,IV,S1,Economics,0.0
EMP100144,Bella Nabila Purnama,423266,20,PT VASKA Wellness,HQ,HRBP,HR,Digital Marketing,Technology,IV,S1,Statistics,0.0
EMP100145,Novi Purnama,148545,41,PT Lumo Cosmetics Asia,Distribution,Sales Supervisor,Finance,Sales,Commercial,III,SMA,Psychology,0.0
EMP100146,Maya Wijaya,249743,35,PT VASKA Wellness,Store,Sales Supervisor,Operations,Digital Marketing,HR & Corp Affairs,III,D3,Psychology,
EMP100147,Hana Ridwan,335078,7,PT Mandala Distribution Center,Plant,Supply Planner,HR,Talent Management,Commercial,IV,S1,Statistics,0.0
EMP100148,Galih Zulfikar Hasibuan,703594,100,PT VASKA Wellness,Distribution,Brand Executive,Operations,Sales,Commercial,III,SMA,Design,0.0
EMP100149,Teguh Saputra Hasibuan,512914,60,PT Mandala Distribution Center,HQ,HRBP,Operations,Operations,Technology,III,SMA,Economics,0.0
EMP100150,Hadi Hasibuan,207057,69,PT Lumo Cosmetics Asia,Plant,Brand Executive,Operations,Digital Marketing,Commercial,V,S2,Statistics,
EMP100151,Wahyu Permadi,332971,42,PT Mandala Distribution Center,Distribution,Finance Officer,R&D,Talent Management,Technology,III,SMA,Business,0.0
EMP100152,Satya Siregar,645559,59,PT Lumo Cosmetics Asia,Store,Data Analyst,HR,Talent Management,Technology,V,S1,Psychology,0.0
EMP100153,Arif Herlambang,692402,66,PT Mandala Distribution Center,Distribution,Finance Officer,HR,Product Dev,Technology,III,S2,Statistics,0.0
EMP100154,Kurnia Maulida,876199,39,PT Aurora Beauty Indonesia,HQ,Data Analyst,Finance,Digital Marketing,HR & Corp Affairs,IV,SMA,Engineering,0.0
EMP100155,Citra Jatmiko Siregar,846042,74,PT Aurora Beauty Indonesia,Plant,Finance Officer,Marketing,Product Dev,Technology,III,SMA,Design,0.0
EMP100156,Yoga Anugrah Lestari,302014,66,PT VASKA Wellness,Distribution,HRBP,IT,Operations,Technology,III,SMA,Business,0.0
EMP100157,Maya Zulfikar Purnama,229728,15,PT VASKA Wellness,Distribution,Brand Executive,HR,Operations,HR & Corp Affairs,V,D3,Design,0.0
EMP100158,Lestari Syahputra,659507,20,PT Lumo Cosmetics Asia,Distribution,HRBP,IT,Talent Management,Commercial,V,S1,Statistics,
EMP100159,Nabila Mahendra,773399,45,PT Mandala Distribution Center,Plant,HRBP,Finance,Talent Management,HR & Corp Affairs,V,D3,Psychology,
EMP100160,Nugroho Rachman Salsabila,260531,83,PT Mandala Distribution Center,Distribution,Brand Executive,R&D,Digital Marketing,HR & Corp Affairs,IV,SMA,Engineering,0.0
EMP100161,Wulan Saputra Pratama,937812,78,PT Mandala Distribution Center,HQ,Supply Planner,IT,Talent Management,Technology,III,S1,Engineering,0.0
EMP100162,Eko Adi Permadi,635327,38,PT Lumo Cosmetics Asia,HQ,Sales Supervisor,Operations,Product Dev,Commercial,IV,SMA,Psychology,0.0
EMP100163,Oktavia Pramudita Sinaga,411227,74,PT VASKA Wellness,Store,Data Analyst,R&D,Operations,Technology,III,S2,Design,0.0
EMP100164,Wahyu Iqbal Pratomo,906701,81,PT Mandala Distribution Center,Store,Data Analyst,IT,Talent Management,HR & Corp Affairs,III,S1,Psychology,0.0
EMP100165,Kurnia Nugroho,272376,18,PT Mandala Distribution Center,Store,Supply Planner,Finance,Talent Management,Commercial,V,S2,Statistics,0.0
EMP100166,Wahyu Yulianto,212302,34,PT VASKA Wellness,Plant,HRBP,Marketing,Product Dev,Technology,III,S2,Economics,0.0
EMP100167,Eko Zulfikar,595197,84,PT Lumo Cosmetics Asia,HQ,HRBP,HR,Talent Management,Technology,III,S2,Design,0.0
EMP100168,Wahyu Rachman Utami,459611,77,PT Aurora Beauty Indonesia,HQ,Finance Officer,HR,Sales,Commercial,V,S1,Economics,0.0
EMP100169,Intan Permadi,292727,55,PT VASKA Wellness,Store,HRBP,IT,Product Dev,HR & Corp Affairs,IV,S1,Statistics,
EMP100170,Dinda Wijaya Zulfikar,889308,103,PT Mandala Distribution Center,Store,Brand Executive,Marketing,Digital Marketing,Technology,III,D3,Psychology,0.0
EMP100171,Nadia Yulianto,164530,44,PT Aurora Beauty Indonesia,Distribution,Data Analyst,IT,Talent Management,Technology,V,S2,Design,0.0
EMP100172,Dinda Ridwan,746866,15,PT Lumo Cosmetics Asia,Store,Supply Planner,IT,Operations,Commercial,V,S2,Statistics,0.0
EMP100173,Ahmad Wijaya,181237,81,PT Mandala Distribution Center,Plant,Supply Planner,R&D,Talent Management,HR & Corp Affairs,V,S2,Business,0.0
EMP100174,Ayunda Nabila Ramadhan,137718,74,PT Lumo Cosmetics Asia,Store,Sales Supervisor,Marketing,Product Dev,HR & Corp Affairs,IV,S2,Psychology,
EMP100175,Budi Hasibuan,757262,28,PT Aurora Beauty Indonesia,HQ,Data Analyst,Operations,Sales,Commercial,III,SMA,Statistics,0.0
EMP100176,Fajar Firmansyah,952140,10,PT Lumo Cosmetics Asia,Plant,Supply Planner,IT,Product Dev,Commercial,III,D3,Engineering,0.0
EMP100177,Rama Mahardika Wijaya,228799,19,PT VASKA Wellness,Distribution,Sales Supervisor,R&D,Sales,Commercial,V,S2,Engineering,
EMP100178,Nurlita Siregar,371453,56,PT Lumo Cosmetics Asia,Plant,HRBP,Finance,Operations,Technology,III,S1,Economics,0.0
EMP100179,Andi Santoso,255408,41,PT VASKA Wellness,Distribution,Sales Supervisor,Marketing,Talent Management,HR & Corp Affairs,V,S2,Economics,0.0
EMP100180,Evi Kurniawan,281925,44,PT VASKA Wellness,Distribution,Brand Executive,Finance,Digital Marketing,HR & Corp Affairs,III,SMA,Engineering,0.0
